medfile	rat	session	sessiontype	quinine	box	dietgroup	date	bottleL	bottleR	licksL	licksR	Totallicks	intakeL	intakeR	endcol
!2018-05-25_14h11m.Subject QPP1.5211	5211	12	Preference test	0.5	3	PR	25/05/2018	MaltodextrinCH	CaseinGR	4003	1438	5441	20	6	0
!2018-05-25_14h11m.Subject QPP1.5212	5212	12	Preference test	0.5	4	PR	25/05/2018	MaltodextrinGR	CaseinCH	5688	690	6378	23	1	0
!2018-05-25_15h29m.Subject QPP1.5213	5213	12	Preference test	0.5	1	PR	25/05/2018	CaseinGR	MaltodextrinCH	2256	2192	4448	11	9	0
!2018-05-25_15h29m.Subject QPP1.5214	5214	12	Preference test	0.5	2	PR	25/05/2018	CaseinCH	MaltodextrinGR	2391	1276	3667	8	7	0
!2018-05-25_15h29m.Subject QPP1.5215	5215	12	Preference test	0.5	3	NR	25/05/2018	MaltodextrinCH	CaseinGR	5530	1102	6632	24	4	0
!2018-05-25_15h29m.Subject QPP1.5217	5217	12	Preference test	0.5	4	NR	25/05/2018	MaltodextrinGR	CaseinCH	4663	1403	6066	18	2	0
!2018-05-26_11h08m.Subject QPP1.5190	5190	13	Preference test	0	1	NR	26/05/2018	CaseinGR	MaltodextrinCH	1998	1769	3767	19	13	0
!2018-05-26_11h08m.Subject QPP1.5191	5191	13	Preference test	0	2	NR	26/05/2018	CaseinCH	MaltodextrinGR	2350	1565	3915	15	9	0
!2018-05-26_11h08m.Subject QPP1.5194	5194	13	Preference test	0	3	PR	26/05/2018	MaltodextrinCH	CaseinGR	936	2645	3581	3	19	0
!2018-05-26_11h08m.Subject QPP1.5195	5195	13	Preference test	0	4	PR	26/05/2018	MaltodextrinGR	CaseinCH	2216	1554	3770	13	19	0
!2018-05-26_12h53m.Subject QPP1.5196	5196	13	Preference test	0	1	PR	26/05/2018	CaseinGR	MaltodextrinCH	5045	9	5054	24	1	0
!2018-05-26_12h53m.Subject QPP1.5197	5197	13	Preference test	0	2	PR	26/05/2018	CaseinCH	MaltodextrinGR	3730	453	4183	28	1	0
!2018-05-26_12h53m.Subject QPP1.5207	5207	13	Preference test	0	3	NR	26/05/2018	MaltodextrinCH	CaseinGR	932	439	1371	4	18	0
!2018-05-26_12h53m.Subject QPP1.5208	5208	13	Preference test	0	4	NR	26/05/2018	MaltodextrinGR	CaseinCH	3101	3942	7043	16	18	0
!2018-05-26_14h03m.Subject QPP1.5209	5209	13	Preference test	0	1	NR	26/05/2018	CaseinGR	MaltodextrinCH	3930	279	4209	19	1	0
!2018-05-26_14h03m.Subject QPP1.5210	5210	13	Preference test	0	2	NR	26/05/2018	CaseinCH	MaltodextrinGR	1369	1504	2873	14	4	0
!2018-05-26_14h03m.Subject QPP1.5211	5211	13	Preference test	0	3	PR	26/05/2018	MaltodextrinCH	CaseinGR	2012	3039	5051	11	13	0
!2018-05-26_14h03m.Subject QPP1.5212	5212	13	Preference test	0	4	PR	26/05/2018	MaltodextrinGR	CaseinCH	1754	221	1975	8	21	0
!2018-05-26_15h26m.Subject QPP1.5213	5213	13	Preference test	0	1	PR	26/05/2018	CaseinGR	MaltodextrinCH	640	2240	2880	27	9	0
!2018-05-26_15h26m.Subject QPP1.5214	5214	13	Preference test	0	2	PR	26/05/2018	CaseinCH	MaltodextrinGR	1036	306	1342	14	2	0
!2018-05-26_15h26m.Subject QPP1.5215	5215	13	Preference test	0	3	NR	26/05/2018	MaltodextrinCH	CaseinGR	2703	2356	5059	17	20	0
!2018-05-26_15h26m.Subject QPP1.5217	5217	13	Preference test	0	4	NR	26/05/2018	MaltodextrinGR	CaseinCH	829	1474	2303	3	17	0
!2018-05-28_10h55m.Subject QPP1.5190	5190	14	Preference test	0	1	NR	28/05/2018	CaseinGR	MaltodextrinCH	2529	4521	7050	14	31	0
!2018-05-28_10h55m.Subject QPP1.5191	5191	14	Preference test	0	2	NR	28/05/2018	CaseinCH	MaltodextrinGR	2318	1194	3512	14	9	0
!2018-05-28_10h55m.Subject QPP1.5194	5194	14	Preference test	0	3	PR	28/05/2018	MaltodextrinCH	CaseinGR	2830	3135	5965	18	13	0
!2018-05-28_10h55m.Subject QPP1.5195	5195	14	Preference test	0	4	PR	28/05/2018	MaltodextrinGR	CaseinCH	1111	398	1509	3	21	0
!2018-05-28_12h17m.Subject QPP1.5196	5196	14	Preference test	0	1	PR	28/05/2018	CaseinGR	MaltodextrinCH	5134	26	5160	27	1	0
!2018-05-28_12h17m.Subject QPP1.5197	5197	14	Preference test	0	2	PR	28/05/2018	CaseinCH	MaltodextrinGR	4358	1195	5553	26	5	0
!2018-05-28_12h17m.Subject QPP1.5207	5207	14	Preference test	0	3	NR	28/05/2018	MaltodextrinCH	CaseinGR	760	4143	4903	4	26	0
!2018-05-28_12h17m.Subject QPP1.5208	5208	14	Preference test	0	4	NR	28/05/2018	MaltodextrinGR	CaseinCH	1804	4109	5913	10	19	0
!2018-05-28_13h27m.Subject QPP1.5209	5209	14	Preference test	0	1	NR	28/05/2018	CaseinGR	MaltodextrinCH	3861	2509	6370	19	13	0
!2018-05-28_13h27m.Subject QPP1.5210	5210	14	Preference test	0	2	NR	28/05/2018	CaseinCH	MaltodextrinGR	1086	3398	4484	16	17	0
!2018-05-28_13h27m.Subject QPP1.5211	5211	14	Preference test	0	3	PR	28/05/2018	MaltodextrinCH	CaseinGR	1652	2695	4347	9	14	0
!2018-05-28_13h27m.Subject QPP1.5212	5212	14	Preference test	0	4	PR	28/05/2018	MaltodextrinGR	CaseinCH	3992	1255	5247	20	25	0
!2018-05-28_14h38m.Subject QPP1.5213	5213	14	Preference test	0	1	PR	28/05/2018	CaseinGR	MaltodextrinCH	5051	217	5268	28	1	0
!2018-05-28_14h38m.Subject QPP1.5214	5214	14	Preference test	0	2	PR	28/05/2018	CaseinCH	MaltodextrinGR	607	195	802	18	1	0
!2018-05-28_14h38m.Subject QPP1.5215	5215	14	Preference test	0	3	NR	28/05/2018	MaltodextrinCH	CaseinGR	3884	2640	6524	26	23	0
!2018-05-28_14h38m.Subject QPP1.5217	5217	14	Preference test	0	4	NR	28/05/2018	MaltodextrinGR	CaseinCH	3322	352	3674	12	18	0
!2018-05-29_11h17m.Subject QPP1.5190	5190	15	Preference test	0.03	1	NR	29/05/2018	CaseinGR	MaltodextrinCH	3117	2777	5894	17	20	0
!2018-05-29_11h17m.Subject QPP1.5191	5191	15	Preference test	0.03	2	NR	29/05/2018	CaseinCH	MaltodextrinGR	831	3081	3912	3	20	0
!2018-05-29_11h17m.Subject QPP1.5194	5194	15	Preference test	0.03	3	PR	29/05/2018	MaltodextrinCH	CaseinGR	1722	3770	5492	6	23	0
!2018-05-29_11h17m.Subject QPP1.5195	5195	15	Preference test	0.03	4	PR	29/05/2018	MaltodextrinGR	CaseinCH	3342	1933	5275	17	17	0
!2018-05-29_12h50m.Subject QPP1.5196	5196	15	Preference test	0.03	1	PR	29/05/2018	CaseinGR	MaltodextrinCH	4123	115	4238	25	1	0
!2018-05-29_12h50m.Subject QPP1.5197	5197	15	Preference test	0.03	2	PR	29/05/2018	CaseinCH	MaltodextrinGR	4133	1250	5383	19	9	0
!2018-05-29_12h50m.Subject QPP1.5207	5207	15	Preference test	0.03	3	NR	29/05/2018	MaltodextrinCH	CaseinGR	2500	4351	6851	11	21	0
!2018-05-29_12h50m.Subject QPP1.5208	5208	15	Preference test	0.03	4	NR	29/05/2018	MaltodextrinGR	CaseinCH	2955	2022	4977	15	10	0
!2018-05-29_13h59m.Subject QPP1.5209	5209	15	Preference test	0.03	1	NR	29/05/2018	CaseinGR	MaltodextrinCH	3676	1730	5406	15	11	0
!2018-05-29_13h59m.Subject QPP1.5210	5210	15	Preference test	0.03	2	NR	29/05/2018	CaseinCH	MaltodextrinGR	1034	3954	4988	4	20	0
!2018-05-29_13h59m.Subject QPP1.5211	5211	15	Preference test	0.03	3	PR	29/05/2018	MaltodextrinCH	CaseinGR	1011	1136	2147	6	16	0
!2018-05-29_13h59m.Subject QPP1.5212	5212	15	Preference test	0.03	4	PR	29/05/2018	MaltodextrinGR	CaseinCH	5068	484	5552	26	2	0
!2018-05-29_15h12m.Subject QPP1.5213	5213	15	Preference test	0.03	1	PR	29/05/2018	CaseinGR	MaltodextrinCH	4535	219	4754	26	1	0
!2018-05-29_15h12m.Subject QPP1.5214	5214	15	Preference test	0.03	2	PR	29/05/2018	CaseinCH	MaltodextrinGR	1346	1151	2497	10	6	0
!2018-05-29_15h12m.Subject QPP1.5215	5215	15	Preference test	0.03	3	NR	29/05/2018	MaltodextrinCH	CaseinGR	1798	1069	2867	16	16	0
!2018-05-29_15h12m.Subject QPP1.5217	5217	15	Preference test	0.03	4	NR	29/05/2018	MaltodextrinGR	CaseinCH	1626	2003	3629	8	11	0
!2018-05-30_12h32m.Subject QPP1.5190	5190	16	Preference test	0.06	1	NR	30/05/2018	CaseinGR	MaltodextrinCH	2501	1646	4147	24	8	0
!2018-05-30_12h32m.Subject QPP1.5191	5191	16	Preference test	0.06	2	NR	30/05/2018	CaseinCH	MaltodextrinGR	680	2483	3163	2	15	0
!2018-05-30_12h32m.Subject QPP1.5194	5194	16	Preference test	0.06	3	PR	30/05/2018	MaltodextrinCH	CaseinGR	1206	3322	4528	6	19	0
!2018-05-30_12h32m.Subject QPP1.5195	5195	16	Preference test	0.06	4	PR	30/05/2018	MaltodextrinGR	CaseinCH	963	4326	5289	3	24	0
!2018-05-30_13h44m.Subject QPP1.5196	5196	16	Preference test	0.06	1	PR	30/05/2018	CaseinGR	MaltodextrinCH	2750	29	2779	17	0	0
!2018-05-30_13h44m.Subject QPP1.5197	5197	16	Preference test	0.06	2	PR	30/05/2018	CaseinCH	MaltodextrinGR	988	1257	2245	16	7	0
!2018-05-30_13h44m.Subject QPP1.5207	5207	16	Preference test	0.06	3	NR	30/05/2018	MaltodextrinCH	CaseinGR	2323	3024	5347	8	18	0
!2018-05-30_13h44m.Subject QPP1.5208	5208	16	Preference test	0.06	4	NR	30/05/2018	MaltodextrinGR	CaseinCH	1045	798	1843	6	20	0
!2018-05-30_13h44m.Subject QPP1.5209	5209	16	Preference test	0.06	1	NR	30/05/2018	CaseinGR	MaltodextrinCH	2365	185	2550	10	1	0
!2018-05-30_14h55m.Subject QPP1.5210	5210	16	Preference test	0.06	2	NR	30/05/2018	CaseinCH	MaltodextrinGR	3211	1466	4677	16	8	0
!2018-05-30_14h55m.Subject QPP1.5211	5211	16	Preference test	0.06	3	PR	30/05/2018	MaltodextrinCH	CaseinGR	1984	1743	3727	9	14	0
!2018-05-30_14h55m.Subject QPP1.5212	5212	16	Preference test	0.06	4	PR	30/05/2018	MaltodextrinGR	CaseinCH	1197	2546	3743	5	12	0
!2018-05-30_13h44m.Subject QPP1.5213	5213	16	Preference test	0.06	1	PR	30/05/2018	CaseinGR	MaltodextrinCH	4897	224	5121	28	1	0
!2018-05-30_16h05m.Subject QPP1.5214	5214	16	Preference test	0.06	2	PR	30/05/2018	CaseinCH	MaltodextrinGR	2667	708	3375	14	4	0
!2018-05-30_16h05m.Subject QPP1.5215	5215	16	Preference test	0.06	3	NR	30/05/2018	MaltodextrinCH	CaseinGR	2137	1161	3298	18	4	0
!2018-05-30_16h05m.Subject QPP1.5217	5217	16	Preference test	0.06	4	NR	30/05/2018	MaltodextrinGR	CaseinCH	1830	1568	3398	11	10	0
!2018-05-31_11h09m.Subject QPP1.5190	5190	17	Preference test	0.1	1	NR	31/05/2018	CaseinGR	MaltodextrinCH	4539	1123	5662	29	7	0
!2018-05-31_11h09m.Subject QPP1.5191	5191	17	Preference test	0.1	2	NR	31/05/2018	CaseinCH	MaltodextrinGR	541	1122	1663	4	7	0
!2018-05-31_11h09m.Subject QPP1.5194	5194	17	Preference test	0.1	3	PR	31/05/2018	MaltodextrinCH	CaseinGR	339	1214	1553	3	20	0
!2018-05-31_11h09m.Subject QPP1.5195	5195	17	Preference test	0.1	4	PR	31/05/2018	MaltodextrinGR	CaseinCH	1024	3837	4861	4	24	0
!2018-05-31_13h55m.Subject QPP1.5196	5196	17	Preference test	0.1	1	PR	31/05/2018	CaseinGR	MaltodextrinCH	4049	23	4072	21	1	0
!2018-05-31_13h55m.Subject QPP1.5197	5197	17	Preference test	0.1	2	PR	31/05/2018	CaseinCH	MaltodextrinGR	2203	429	2632	12	7	0
!2018-05-31_13h55m.Subject QPP1.5207	5207	17	Preference test	0.1	3	NR	31/05/2018	MaltodextrinCH	CaseinGR	1290	236	1526	6	10	0
!2018-05-31_13h55m.Subject QPP1.5208	5208	17	Preference test	0.1	4	NR	31/05/2018	MaltodextrinGR	CaseinCH	1225	601	1826	8	12	0
!2018-05-31_15h07m.Subject QPP1.5209	5209	17	Preference test	0.1	1	NR	31/05/2018	CaseinGR	MaltodextrinCH	1767	2467	4234	9	10	0
!2018-05-31_15h07m.Subject QPP1.5210	5210	17	Preference test	0.1	2	NR	31/05/2018	CaseinCH	MaltodextrinGR	2028	534	2562	9	7	0
!2018-05-31_15h07m.Subject QPP1.5211	5211	17	Preference test	0.1	3	PR	31/05/2018	MaltodextrinCH	CaseinGR	949	711	1660	4	16	0
!2018-05-31_15h07m.Subject QPP1.5212	5212	17	Preference test	0.1	4	PR	31/05/2018	MaltodextrinGR	CaseinCH	557	1230	1787	2	16	0
!2018-05-31_16h17m.Subject QPP1.5213	5213	17	Preference test	0.1	1	PR	31/05/2018	CaseinGR	MaltodextrinCH	1100	1059	2159	25	1	0
!2018-05-31_16h17m.Subject QPP1.5214	5214	17	Preference test	0.1	2	PR	31/05/2018	CaseinCH	MaltodextrinGR	747	343	1090	13	2	0
!2018-05-31_16h17m.Subject QPP1.5215	5215	17	Preference test	0.1	3	NR	31/05/2018	MaltodextrinCH	CaseinGR	3409	2214	5623	18	14	0
!2018-05-31_16h17m.Subject QPP1.5217	5217	17	Preference test	0.1	4	NR	31/05/2018	MaltodextrinGR	CaseinCH	305	458	763	2	14	0
!2018-06-01_10h45m.Subject QPP1.5190	5190	18	Preference test	0.5	1	NR	01/06/2018	CaseinGR	MaltodextrinCH	485	1164	1649	2	14	0
!2018-06-01_10h45m.Subject QPP1.5191	5191	18	Preference test	0.5	2	NR	01/06/2018	CaseinCH	MaltodextrinGR	45	1615	1660	0	10	0
!2018-06-01_10h45m.Subject QPP1.5194	5194	18	Preference test	0.5	3	PR	01/06/2018	MaltodextrinCH	CaseinGR	2933	586	3519	15	2	0
!2018-06-01_10h45m.Subject QPP1.5195	5195	18	Preference test	0.5	4	PR	01/06/2018	MaltodextrinGR	CaseinCH	1906	751	2657	9	4	0
!2018-06-01_12h35m.Subject QPP1.5196	5196	18	Preference test	0.5	1	PR	01/06/2018	CaseinGR	MaltodextrinCH	833	552	1385	4	3	0
!2018-06-01_12h35m.Subject QPP1.5197	5197	18	Preference test	0.5	2	PR	01/06/2018	CaseinCH	MaltodextrinGR	396	2965	3361	1	19	0
!2018-06-01_12h35m.Subject QPP1.5207	5207	18	Preference test	0.5	3	NR	01/06/2018	MaltodextrinCH	CaseinGR	3743	748	4491	16	1	0
!2018-06-01_12h35m.Subject QPP1.5208	5208	18	Preference test	0.5	4	NR	01/06/2018	MaltodextrinGR	CaseinCH	3313	518	3831	25	1	0
!2018-06-01_13h45m.Subject QPP1.5209	5209	18	Preference test	0.5	1	NR	01/06/2018	CaseinGR	MaltodextrinCH	379	1826	2205	2	10	0
!2018-06-01_13h45m.Subject QPP1.5210	5210	18	Preference test	0.5	2	NR	01/06/2018	CaseinCH	MaltodextrinGR	250	3190	3440	2	16	0
!2018-06-01_13h45m.Subject QPP1.5211	5211	18	Preference test	0.5	3	PR	01/06/2018	MaltodextrinCH	CaseinGR	3191	1281	4472	14	2	0
!2018-06-01_13h45m.Subject QPP1.5212	5212	18	Preference test	0.5	4	PR	01/06/2018	MaltodextrinGR	CaseinCH	2485	1136	3621	14	1	0
!2018-06-01_14h50m.Subject QPP1.5213	5213	18	Preference test	0.5	1	PR	01/06/2018	CaseinGR	MaltodextrinCH	1043	1957	3000	2	10	0
!2018-06-01_14h50m.Subject QPP1.5214	5214	18	Preference test	0.5	2	PR	01/06/2018	CaseinCH	MaltodextrinGR	1047	1264	2311	3	6	0
!2018-06-01_14h50m.Subject QPP1.5215	5215	18	Preference test	0.5	3	NR	01/06/2018	MaltodextrinCH	CaseinGR	5439	664	6103	30	2	0
!2018-06-01_14h50m.Subject QPP1.5217	5217	18	Preference test	0.5	4	NR	01/06/2018	MaltodextrinGR	CaseinCH	2273	1642	3915	9	1	0
!2018-06-02_11h22m.Subject QPP1.5190	5190	19	Preference test	1	1	NR	02/06/2018	CaseinGR	MaltodextrinCH	195	4061	4256	0	27	0
!2018-06-02_11h22m.Subject QPP1.5191	5191	19	Preference test	1	2	NR	02/06/2018	CaseinCH	MaltodextrinGR	34	1550	1584	0	10	0
!2018-06-02_11h22m.Subject QPP1.5194	5194	19	Preference test	1	3	PR	02/06/2018	MaltodextrinCH	CaseinGR	3667	105	3772	18	1	0
!2018-06-02_11h22m.Subject QPP1.5195	5195	19	Preference test	1	4	PR	02/06/2018	MaltodextrinGR	CaseinCH	3196	296	3492	19	2	0
!2018-06-02_12h44m.Subject QPP1.5196	5196	19	Preference test	1	1	PR	02/06/2018	CaseinGR	MaltodextrinCH	314	1543	1857	2	12	0
!2018-06-02_12h44m.Subject QPP1.5197	5197	19	Preference test	1	2	PR	02/06/2018	CaseinCH	MaltodextrinGR	133	3942	4075	1	22	0
!2018-06-02_12h44m.Subject QPP1.5207	5207	19	Preference test	1	3	NR	02/06/2018	MaltodextrinCH	CaseinGR	3185	91	3276	16	1	0
!2018-06-02_12h44m.Subject QPP1.5208	5208	19	Preference test	1	4	NR	02/06/2018	MaltodextrinGR	CaseinCH	139	279	418	35	1	0
!2018-06-02_13h48m.Subject QPP1.5209	5209	19	Preference test	1	1	NR	02/06/2018	CaseinGR	MaltodextrinCH	340	2833	3173	0	18	0
!2018-06-02_13h48m.Subject QPP1.5210	5210	19	Preference test	1	2	NR	02/06/2018	CaseinCH	MaltodextrinGR	141	3354	3495	1	18	0
!2018-06-02_13h48m.Subject QPP1.5211	5211	19	Preference test	1	3	PR	02/06/2018	MaltodextrinCH	CaseinGR	2035	421	2456	7	1	0
!2018-06-02_13h48m.Subject QPP1.5212	5212	19	Preference test	1	4	PR	02/06/2018	MaltodextrinGR	CaseinCH	1125	463	1588	10	0	0
!2018-06-02_15h06m.Subject QPP1.5213	5213	19	Preference test	1	1	PR	02/06/2018	CaseinGR	MaltodextrinCH	986	3200	4186	1	49	0
!2018-06-02_15h06m.Subject QPP1.5214	5214	19	Preference test	1	2	PR	02/06/2018	CaseinCH	MaltodextrinGR	1098	2460	3558	3	12	0
!2018-06-02_15h06m.Subject QPP1.5215	5215	19	Preference test	1	3	NR	02/06/2018	MaltodextrinCH	CaseinGR	2811	205	3016	18	1	0
!2018-06-02_15h06m.Subject QPP1.5217	5217	19	Preference test	1	4	NR	02/06/2018	MaltodextrinGR	CaseinCH	1002	370	1372	18	2	0
